pin,site,tile
AA7,IOB_X1Y33,RIOB18_X43Y33
AC8,IOB_X1Y32,RIOB18_X43Y31
AD8,IOB_X1Y31,RIOB18_X43Y31
AB7,IOB_X1Y30,RIOB18_X43Y29
AC7,IOB_X1Y29,RIOB18_X43Y29
AA9,IOB_X1Y28,RIOB18_X43Y27
AB9,IOB_X1Y27,RIOB18_X43Y27
AC9,IOB_X1Y26,RIOB18_X43Y25
AD9,IOB_X1Y25,RIOB18_X43Y25
AB11,IOB_X1Y24,RIOB18_X43Y23
AC11,IOB_X1Y23,RIOB18_X43Y23
AA10,IOB_X1Y22,RIOB18_X43Y21
AB10,IOB_X1Y21,RIOB18_X43Y21
AB12,IOB_X1Y20,RIOB18_X43Y19
AC12,IOB_X1Y19,RIOB18_X43Y19
AA13,IOB_X1Y18,RIOB18_X43Y17
AA12,IOB_X1Y17,RIOB18_X43Y17
AC13,IOB_X1Y16,RIOB18_X43Y15
AD13,IOB_X1Y15,RIOB18_X43Y15
Y13,IOB_X1Y14,RIOB18_X43Y13
Y12,IOB_X1Y13,RIOB18_X43Y13
AD11,IOB_X1Y12,RIOB18_X43Y11
AE11,IOB_X1Y11,RIOB18_X43Y11
AD10,IOB_X1Y10,RIOB18_X43Y9
AE10,IOB_X1Y9,RIOB18_X43Y9
AE12,IOB_X1Y8,RIOB18_X43Y7
AF12,IOB_X1Y7,RIOB18_X43Y7
AE8,IOB_X1Y6,RIOB18_X43Y5
AF8,IOB_X1Y5,RIOB18_X43Y5
AE13,IOB_X1Y4,RIOB18_X43Y3
AF13,IOB_X1Y3,RIOB18_X43Y3
AF10,IOB_X1Y2,RIOB18_X43Y1
AF9,IOB_X1Y1,RIOB18_X43Y1
V12,IOB_X1Y0,RIOB18_SING_X43Y0
U4,IOB_X1Y99,RIOB18_SING_X43Y99
U6,IOB_X1Y98,RIOB18_X43Y97
U5,IOB_X1Y97,RIOB18_X43Y97
U2,IOB_X1Y96,RIOB18_X43Y95
U1,IOB_X1Y95,RIOB18_X43Y95
W6,IOB_X1Y94,RIOB18_X43Y93
W5,IOB_X1Y93,RIOB18_X43Y93
V3,IOB_X1Y92,RIOB18_X43Y91
W3,IOB_X1Y91,RIOB18_X43Y91
U7,IOB_X1Y90,RIOB18_X43Y89
V6,IOB_X1Y89,RIOB18_X43Y89
V4,IOB_X1Y88,RIOB18_X43Y87
W4,IOB_X1Y87,RIOB18_X43Y87
Y3,IOB_X1Y86,RIOB18_X43Y85
Y2,IOB_X1Y85,RIOB18_X43Y85
V2,IOB_X1Y84,RIOB18_X43Y83
V1,IOB_X1Y83,RIOB18_X43Y83
AB1,IOB_X1Y82,RIOB18_X43Y81
AC1,IOB_X1Y81,RIOB18_X43Y81
W1,IOB_X1Y80,RIOB18_X43Y79
Y1,IOB_X1Y79,RIOB18_X43Y79
AB2,IOB_X1Y78,RIOB18_X43Y77
AC2,IOB_X1Y77,RIOB18_X43Y77
AA3,IOB_X1Y76,RIOB18_X43Y75
AA2,IOB_X1Y75,RIOB18_X43Y75
AA4,IOB_X1Y74,RIOB18_X43Y73
